,BE,BISAMBERG,CH,CZ,DE,DREIBEIN MELLACH,DUERNROHR,ERNSTHOFEN,ETZERSDORF,FEISTRITZ,FR,GREUTH,HAUSRUCK,HESSENBERG,HU,IT,JOCHENSTEIN,KAINACHTAL,KAPRUN,KLAUS,KLEDERING,KRONSTORF,LIENZ,LU,MATREI,MAYRHOFEN,MEININGEN,NAUDERS,NEUSIEDL,NL,OBERSIELACH,OSTSTEIERMARK,PHYRN,PL,PONGAU,ROSEGG,SALZACH,SALZBURG,SARASDORF,SATTLEDT,SCHAERDING,SCHWARZENBACH,SI,SK,ST PETER,SUEDBURGENLAND,SW WEIBERN,TAUERN,TERNITZ,VILL,VILLACH SUED,WAGENHAM,WALGAUWERK,WALLSEE,WEISSENBACH,WERBEN,WESTTIROL,WIEN SUEDOST,YBBSFELD,ZAYA,ZELL AM ZILLER,ZELTWEG,ZURNDORF
DE1-CZ1,-0.06169910324397058,0.00368226866443388,-0.06175197131520929,0.02120733967198727,-0.06175335446523394,-0.00022887671446354698,0.008348784440134706,-0.04031351081052482,0.004113126240396367,-0.04353852551389434,-0.060867735279301616,-0.04539261700565547,-0.04892332054840292,-0.03205868350959849,-0.002495065501449349,-0.04922869004944846,-0.061163568030683096,-0.0418591546333194,-0.05288223755751551,-0.04031351081052482,-2.3193502790145445e-05,-0.02748103333128814,-0.049077837260581694,-0.06170534135004185,-0.05042614692884977,-0.05651848980668778,-0.06175211470432856,-0.0617280918419461,-0.0017884230663767276,-0.061718793442346855,-0.04139649816887055,-0.00022887671446354698,-0.040410965116068086,-0.04797467253833719,-0.050199174855386476,-0.04409905130620343,-0.05710795889104086,-0.05710795889104086,0.0015710006814464714,-0.046743539021212595,-0.061163568030683096,-0.05369959712395434,-0.04195054583811458,0.0,-0.061163568030683096,-0.00022887671446353684,-0.05210956885006934,-0.05307654358474648,-0.012441311557533736,-0.06175335446523394,-0.04485496724910723,-0.06020843111048271,-0.06175335446523394,-0.034734805012942176,-0.040410965116068086,-0.06175335446523394,-0.061647024656665876,-0.0002288767144635267,-0.027356710829731495,0.016790096757457584,-0.05651848980668778,-0.03563951501091161,-0.0007119367267452684
DE2-CZ2,-0.06169910324397058,0.00368226866443388,-0.06175197131520929,0.02120733967198727,-0.06175335446523394,-0.00022887671446354698,0.008348784440134706,-0.04031351081052482,0.004113126240396367,-0.04353852551389434,-0.060867735279301616,-0.04539261700565547,-0.04892332054840292,-0.03205868350959849,-0.002495065501449349,-0.04922869004944846,-0.061163568030683096,-0.0418591546333194,-0.05288223755751551,-0.04031351081052482,-2.3193502790145445e-05,-0.02748103333128814,-0.049077837260581694,-0.06170534135004185,-0.05042614692884977,-0.05651848980668778,-0.06175211470432856,-0.0617280918419461,-0.0017884230663767276,-0.061718793442346855,-0.04139649816887055,-0.00022887671446354698,-0.040410965116068086,-0.04797467253833719,-0.050199174855386476,-0.04409905130620343,-0.05710795889104086,-0.05710795889104086,0.0015710006814464714,-0.046743539021212595,-0.061163568030683096,-0.05369959712395434,-0.04195054583811458,0.0,-0.061163568030683096,-0.00022887671446353684,-0.05210956885006934,-0.05307654358474648,-0.012441311557533736,-0.06175335446523394,-0.04485496724910723,-0.06020843111048271,-0.06175335446523394,-0.034734805012942176,-0.040410965116068086,-0.06175335446523394,-0.061647024656665876,-0.0002288767144635267,-0.027356710829731495,0.016790096757457584,-0.05651848980668778,-0.03563951501091161,-0.0007119367267452684
DE1-PL1,-0.04941636846737949,-0.010446246870846968,-0.04945661401444056,-0.006246224725085223,-0.04945759254453654,-0.009158711274571655,-0.010229892644345286,-0.036322925925710216,-0.012598728720155269,-0.03598250472871258,-0.048784633801815004,-0.03737199269490048,-0.04160131352494675,-0.029351310999622775,-0.0033470340507700536,-0.03994042923987981,-0.04910540159298074,-0.034383469625639845,-0.043203532689860984,-0.036322925925710216,-0.009226421479877456,-0.030268092358355658,-0.04013375996459849,-0.04942110864022749,-0.04120779780894456,-0.04575410953421113,-0.049456715457209616,-0.04943972012523902,-0.005159229825838506,-0.04943133053160947,-0.03437723269527672,-0.009158711274571655,-0.035255615489776786,0.044711416074276575,-0.04160837229275852,-0.03640257237187499,-0.04633233243502207,-0.04633233243502207,-0.0070764628459141915,-0.040264962068590066,-0.04910540159298074,-0.04375984189992002,-0.03438470164253345,0.0,-0.04910540159298074,-0.009158711274571655,-0.04355469624020156,-0.043319053389139196,-0.016906191805684236,-0.049457592544536355,-0.03696906874531794,-0.048421991416645584,-0.04945759254453654,-0.03304173893031404,-0.035255615489776786,-0.04945759254453642,-0.049382367936985215,-0.009158711274571624,-0.028702218696920676,-0.006938138070065931,-0.04575410953421113,-0.03127863333226944,-0.004982534187439062
DE2-PL2,-0.04941636846737949,-0.010446246870846968,-0.04945661401444056,-0.006246224725085223,-0.04945759254453654,-0.009158711274571655,-0.010229892644345286,-0.036322925925710216,-0.012598728720155269,-0.03598250472871258,-0.048784633801815004,-0.03737199269490048,-0.04160131352494675,-0.029351310999622775,-0.0033470340507700536,-0.03994042923987981,-0.04910540159298074,-0.034383469625639845,-0.043203532689860984,-0.036322925925710216,-0.009226421479877456,-0.030268092358355658,-0.04013375996459849,-0.04942110864022749,-0.04120779780894456,-0.04575410953421113,-0.049456715457209616,-0.04943972012523902,-0.005159229825838506,-0.04943133053160947,-0.03437723269527672,-0.009158711274571655,-0.035255615489776786,0.044711416074276575,-0.04160837229275852,-0.03640257237187499,-0.04633233243502207,-0.04633233243502207,-0.0070764628459141915,-0.040264962068590066,-0.04910540159298074,-0.04375984189992002,-0.03438470164253345,0.0,-0.04910540159298074,-0.009158711274571655,-0.04355469624020156,-0.043319053389139196,-0.016906191805684236,-0.049457592544536355,-0.03696906874531794,-0.048421991416645584,-0.04945759254453654,-0.03304173893031404,-0.035255615489776786,-0.04945759254453642,-0.049382367936985215,-0.009158711274571624,-0.028702218696920676,-0.006938138070065931,-0.04575410953421113,-0.03127863333226944,-0.004982534187439062
DE3-PL3,-0.06816724345895432,-0.014410040149903528,-0.06822276004363541,-0.008616333711678827,-0.06822410987368877,-0.012633953497334025,-0.014111591039037572,-0.050105538134675366,-0.017379274005273476,-0.04963594525818456,-0.06729579919697012,-0.05155266976490225,-0.057386792174728925,-0.04048856734730573,-0.004617054876358692,-0.05509569092773936,-0.06773828124881534,-0.047430161657503196,-0.059596968018820105,-0.050105538134675366,-0.012727356112558232,-0.041753218312514336,-0.05536238034642243,-0.06817378227446402,-0.05684395824237808,-0.06311535267762722,-0.06822289997852236,-0.06819945582493447,-0.00711688224987209,-0.06818788282818856,-0.0474215581448679,-0.012633953497334025,-0.04863324033965257,0.06167701268744082,-0.05739652936827165,-0.05021540615725049,-0.06391298031550477,-0.06391298031550477,-0.009761602898118787,-0.05554336664797603,-0.06773828124881534,-0.060364366889613004,-0.04743186115906788,0.0,-0.06773828124881534,-0.012633953497334025,-0.060081379398538914,-0.059756322659326414,-0.02332118948689249,-0.0682241098736885,-0.050996857676347686,-0.0667955533771119,-0.06822410987368877,-0.04557931575762689,-0.04863324033965257,-0.06822410987368858,-0.06812034154153299,-0.012633953497333981,-0.03959317915108822,-0.009570791250802414,-0.06311535267762722,-0.04314720566388157,-0.006873140045123451
DE4-PL4,-0.06617925017312143,-0.013989793391886387,-0.06623314770161073,-0.008365051531292184,-0.06623445816593729,-0.01226550358720456,-0.013700048092388738,-0.04864428683067102,-0.01687243408800533,-0.048188388911437806,-0.06533322024878525,-0.050049215082579694,-0.055713194244844264,-0.03930778027194302,-0.00448240553997985,-0.053488909457859,-0.06576279798906477,-0.04604693361223449,-0.05785891369440325,-0.04864428683067102,-0.012356182258162826,-0.04053554962803579,-0.05374782128796959,-0.06618559829408824,-0.055186191233007116,-0.06127469005157209,-0.06623328355551096,-0.06621052311476754,-0.00690932927558572,-0.06619928762675252,-0.04603858100787251,-0.01226550358720456,-0.04721492634663123,0.059878297044982834,-0.05572264746804577,-0.0487509507205847,-0.06204905610062434,-0.06204905610062434,-0.009476920695410795,-0.05392352940114327,-0.06576279798906477,-0.05860393255208016,-0.046048583550438116,0.0,-0.06576279798906477,-0.01226550358720456,-0.058329197957906156,-0.058013621000804226,-0.022641062702163466,-0.06623445816593702,-0.04950961240259387,-0.06484756333234577,-0.06623445816593729,-0.044250064799231006,-0.04721492634663123,-0.06623445816593711,-0.06613371607831099,-0.012265503587204516,-0.038438504701555326,-0.0092916737776401,-0.06127469005157209,-0.0418888834726095,-0.006672695439049243
DE1-BE1,0.4049003284639774,-0.004266167424213929,-0.026626462379990556,-0.014760505111959255,-0.026636097446512963,0.003911043888915611,-0.009420428943920367,-0.00720823430656381,-0.010426505589853363,0.11614581202859853,0.23520770095334154,0.10955491299970088,-0.01493975941035064,0.054148796283239875,0.00936472664598953,0.1746012857322965,-0.025931382171715534,0.1398660386401085,0.032958325192002924,-0.00720823430656381,0.0034810125496353983,-0.01793092275338637,0.09645474253486608,0.35527987871654787,0.07533071737262365,0.009830134236912258,-0.02662746123309745,-0.02646011721897157,0.007664160618260363,0.24827642885560497,0.12376026148318342,0.003911043888915611,0.03031748992258887,-0.02375865686095935,0.021241664509621394,0.11415326262280256,-0.0084825880426731,-0.0084825880426731,0.0026269388196697996,-0.01298233687590411,-0.025931382171715534,0.029466629230419095,0.14304750586609405,0.0,-0.025931382171715534,0.003911043888915611,-0.017800979284103846,0.03380683975999332,0.02318622459380748,-0.026636097446512963,0.11146614298703561,-0.01887585987231155,-0.026636097446512963,-0.006835177486808064,0.03031748992258887,-0.026636097446512963,-0.025895400659292633,0.003911043888917831,-0.006341792739217311,-0.011582793345474851,0.009830134236912258,0.08084314999832642,0.006409943617248226
DE1-WESTTIROL1,-0.00020532549711498756,8.842256993744418e-05,0.00017711369494774693,-9.972616108714422e-05,-0.00020879642863894,0.0001855978835588963,7.434665617498908e-07,0.0006028332922039362,-8.045313252799156e-06,0.0022758300213525707,-0.000152135518909984,0.003047962204383532,0.0002946465166264536,0.0017646746896039214,6.643032889869493e-05,0.0005925173765729164,-0.000143491202868005,0.000839269194910906,0.008487662281281996,0.0006028332922039362,0.00018048753130532394,-7.360162086939561e-05,0.004582663794369905,-0.0002057246040568803,0.005985381579271679,0.01706211579515106,0.0001371069626795775,0.006839681250056692,0.0001035891267403997,-0.00020658525364511152,0.0013837876073860844,0.0001855978835588963,0.002748429320918071,-0.0001841915663751767,0.004965585863290934,0.002509259712165522,0.0017463005360250487,0.0017463005360250487,9.85586656621802e-05,0.0003726714510652354,-0.000143491202868005,0.010248686317060048,0.0007317073264983707,0.0,-0.000143491202868005,0.00018559788355890667,0.00018059526344254114,0.008742729252262856,0.0007914568110147849,-0.00020879642863894,0.002824059186612084,0.0009060366295846694,-0.00020879642863894,0.0005376055337031714,0.002748429320918071,-0.00020879642863891917,0.029458086291045592,0.00018559788355891708,0.00045133883260072574,-5.3488342940670714e-05,0.01706211579515106,0.001618613484470183,8.051985897259453e-05
DE2-WESTTIROL2,-0.00010970571127776251,4.724430752291083e-05,9.463210441123985e-05,-5.328383268902498e-05,-0.00011156023503142162,9.916521870673126e-05,3.9723526358895016e-07,0.00032209470344596894,-4.29862255419965e-06,0.0012159792853195758,-8.128622868149873e-05,0.0016285306319865946,0.00015743006171278217,0.0009428682492776085,3.549382119925262e-05,0.00031658289474376653,-7.666755806718143e-05,0.00044842274960938246,0.004534970282487677,0.00032209470344596894,9.643475007650509e-05,-3.932545291319235e-05,0.002448523920176609,-0.00010991895469639023,0.0031979980696459098,0.009116313246582965,7.325644926344978e-05,0.003654451624341758,5.5347820847274155e-05,-0.0001103788010211988,0.0007393597281326751,9.916521870673126e-05,0.0014684897773758546,-9.841382139324664e-05,0.0026531197376722217,0.0013407011081024598,0.0009330509123378703,0.0009330509123378703,5.2660038188055224e-05,0.0001991188974895374,-7.666755806718143e-05,0.005475887982124723,0.0003909522871175572,0.0,-7.666755806718143e-05,9.916521870673682e-05,9.64923115138665e-05,0.0046712529354854615,0.00042287652346158016,-0.00011156023503142162,0.0015088989244442133,0.00048409668691379185,-0.00011156023503142162,0.000287243417356677,0.0014684897773758546,-0.00011156023503141051,0.01573949828369837,9.916521870674239e-05,0.0002411509936830117,-2.8578899307809543e-05,0.009116313246582965,0.0008648275352677443,4.3021877578246556e-05
DE1-WERBEN1,-1.3322676295501878e-14,0.0,-8.881784197001252e-15,-4.440892098500626e-15,-1.3322676295501878e-14,-2.220446049250313e-15,-2.220446049250313e-15,-4.440892098500626e-15,-4.440892098500626e-15,0.0,-4.440892098500626e-15,0.0,-4.440892098500626e-15,0.0,0.0,0.0,-1.3322676295501878e-14,-4.440892098500626e-15,-4.440892098500626e-15,-4.440892098500626e-15,-4.440892098500626e-15,-4.440892098500626e-15,-4.440892098500626e-15,-1.3322676295501878e-14,-4.440892098500626e-15,0.0,-8.881784197001252e-15,-8.881784197001252e-15,0.0,0.0,-8.881784197001252e-15,-2.220446049250313e-15,-4.440892098500626e-15,0.0,-4.440892098500626e-15,-4.440892098500626e-15,0.0,0.0,-2.220446049250313e-15,0.0,-1.3322676295501878e-14,-8.881784197001252e-15,-4.440892098500626e-15,0.0,-1.3322676295501878e-14,0.0,-4.440892098500626e-15,-4.440892098500626e-15,-2.220446049250313e-15,-1.3322676295501878e-14,0.0,-4.440892098500626e-15,-1.3322676295501878e-14,0.0,-4.440892098500626e-15,0.5412844036697173,-4.440892098500626e-15,2.220446049250313e-15,0.0,-2.220446049250313e-15,0.0,-4.440892098500626e-15,0.0
